Subject ID;Game Version;Stage;Score Lost in Stage;Score;HeadRotation;Tutorial Time;Time Stamp; ; ;Button Presses;Actions Executed;Sucessfull Hits;Hits Taken;Precision Score;Spam Index;Centered Amount; ;Astronauts Spawned;Astronauts Destroyed;Astronauts Struck;Astronauts Sucessrate; ;Aliens Spawned;Aliens Destroyed;Aliens Struck;Alien Sucessrate; ;Lasers Spawned;Lasers Destroyed;Lasers Struck;Laser Sucessrate; ;Asteroids Spawned;Asteroids Destroyed;Asteroids Struck;Asteroid Sucessrate
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Action Mode;Tutorial; ;1000;0;27,60986;18.10.2023 07:44:16; ; ;16;9;3;0;0,3333333;0;60; ;1;1;0;1; ;1;1;0;1; ;1;1;0;1; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ;1;0;1000;0; ; ; ; ;0;0;0;0;0,3333333;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;2;-30;970;0; ; ; ; ;4;4;0;0;0;1;10; ;1;0;0;0; ;0;0;0;0; ;1;0;0;0; ;0;0;0;0
 ; ;3;-25;945;0; ; ; ; ;4;3;0;0;0;0;10; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;4;0;945;0; ; ; ; ;0;0;0;0;0;0;2; ;0;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;5;0;945;0; ; ; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Action Mode;Final Sum; ;945;0;27,60986;18.10.2023 07:44:22; ; ;8;7;0;0;0;0,875;22; ;1;0;0;0; ;1;0;0;0; ;1;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
1827794;Action Mode;Tutorial; ;1000;0;18,18286;25.10.2023 10:16:03; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 ; ;1;0;1000;0; ; ; ; ;0;0;0;0;0;0;0; ;1;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
 ; ;2;0;1000;0; ; ; ; ;0;0;0;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0; ;0;0;0;0
